Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Temperature (S-THC 21114835:21648577-1),°C,Greenwich PEINP","RH (S-THC 21114835:21648577-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21648577-3),°C,Greenwich PEINP","Accumulated Rain (C-ACC-RAIN 21114835:21038371-2),mm,Greenwich PEINP,Greenwich"
3/1/2025,00:00:00 -0400,0,1,4.187,13.2,28.9,312,-6.421,68.621,-11.24,
3/1/2025,00:05:00 -0400,0,1,4.202,13.2,24,309,-6.464,68.415,-11.319,
3/1/2025,00:10:00 -0400,0,1,4.206,14.4,30.1,306,-6.421,68.402,-11.28,
3/1/2025,00:15:00 -0400,0,1,4.188,13.2,24,314,-6.399,67.234,-11.474,
3/1/2025,00:20:00 -0400,0,1,4.2,13.2,27.7,321,-6.399,68.087,-11.317,
3/1/2025,00:25:00 -0400,0,1,4.206,10.8,20.4,310,-6.356,69.726,-10.979,
3/1/2025,00:30:00 -0400,0,1,4.188,12,24,314,-6.442,68.44,-11.294,
3/1/2025,00:35:00 -0400,0,1,4.2,12,22.8,310,-6.464,67.529,-11.482,
3/1/2025,00:40:00 -0400,0,1,4.205,12,24,319,-6.485,67.033,-11.594,
3/1/2025,00:45:00 -0400,0,1,4.188,12,26.5,319,-6.506,69.322,-11.196,
3/1/2025,00:50:00 -0400,0,1,4.199,10.8,20.4,310,-6.528,68.985,-11.277,
3/1/2025,00:55:00 -0400,0,1,4.203,13.2,21.6,317,-6.485,68.513,-11.322,
3/1/2025,01:00:00 -0400,0,1,4.188,9.6,22.8,314,-6.614,69.181,-11.324,
3/1/2025,01:05:00 -0400,0,1,4.199,13.2,22.8,309,-6.506,68.988,-11.256,
3/1/2025,01:10:00 -0400,0,1,4.203,10.8,24,312,-6.614,67.875,-11.562,
3/1/2025,01:15:00 -0400,0,1,4.181,8.4,18,310,-6.592,69.58,-11.232,
3/1/2025,01:20:00 -0400,0,1,4.197,10.8,22.8,306,-6.549,68.425,-11.4,
3/1/2025,01:25:00 -0400,0,1,4.2,12,20.4,314,-6.506,69.776,-11.114,
3/1/2025,01:30:00 -0400,0,1,4.181,9.6,20.4,314,-6.528,69.277,-11.224,
3/1/2025,01:35:00 -0400,0,1,4.196,8.4,18,312,-6.571,69.345,-11.253,
3/1/2025,01:40:00 -0400,0,1,4.2,8.4,20.4,305,-6.614,68.768,-11.399,
3/1/2025,01:45:00 -0400,0,1,4.182,8.4,20.4,319,-6.506,69.479,-11.167,
3/1/2025,01:50:00 -0400,0,1,4.194,9.6,20.4,316,-6.528,69.154,-11.247,
3/1/2025,01:55:00 -0400,0,1,4.2,8.4,16.8,312,-6.571,68.911,-11.332,
3/1/2025,02:00:00 -0400,0,1,4.181,7.2,15.6,321,-6.571,69.981,-11.139,
3/1/2025,02:05:00 -0400,0,1,4.194,9.6,19.2,303,-6.614,68.096,-11.521,
3/1/2025,02:10:00 -0400,0,1,4.199,7.2,13.2,310,-6.657,69.291,-11.346,
3/1/2025,02:15:00 -0400,0,1,4.182,7.2,12,302,-6.592,69.999,-11.157,
3/1/2025,02:20:00 -0400,0,1,4.194,7.2,14.4,313,-6.506,70.074,-11.061,
3/1/2025,02:25:00 -0400,0,1,4.199,9.6,18,313,-6.549,68.774,-11.336,
3/1/2025,02:30:00 -0400,0,1,4.181,7.2,18,321,-6.635,68.745,-11.424,
3/1/2025,02:35:00 -0400,0,1,4.193,7.2,16.8,309,-6.614,68.516,-11.445,
3/1/2025,02:40:00 -0400,0,1,4.199,6,10.8,298,-6.614,70.477,-11.092,
3/1/2025,02:45:00 -0400,0,1,4.176,8.4,14.4,313,-6.571,69.45,-11.234,
3/1/2025,02:50:00 -0400,0,1,4.193,7.2,16.8,305,-6.571,69.818,-11.168,
3/1/2025,02:55:00 -0400,0,1,4.197,6,14.4,303,-6.571,70.477,-11.051,
3/1/2025,03:00:00 -0400,0,1,4.178,7.2,12,309,-6.592,70.471,-11.073,
3/1/2025,03:05:00 -0400,0,1,4.191,6,13.2,302,-6.549,70.82,-10.969,
3/1/2025,03:10:00 -0400,0,1,4.196,7.2,15.6,300,-6.549,69.319,-11.238,
3/1/2025,03:15:00 -0400,0,1,4.178,6,14.4,313,-6.528,69.886,-11.115,
3/1/2025,03:20:00 -0400,0,1,4.191,8.4,15.6,300,-6.528,69.049,-11.266,
3/1/2025,03:25:00 -0400,0,1,4.196,2.4,7.2,274,-6.635,69.825,-11.229,
3/1/2025,03:30:00 -0400,0,1,4.175,6,13.2,307,-6.592,68.937,-11.348,
3/1/2025,03:35:00 -0400,0,1,4.19,3.6,9.6,298,-6.571,69.441,-11.236,
3/1/2025,03:40:00 -0400,0,1,4.196,3.6,9.6,275,-6.614,71.003,-10.999,
3/1/2025,03:45:00 -0400,0,1,4.176,9.6,15.6,240,-7.579,72.857,-11.609,
3/1/2025,03:50:00 -0400,0,1,4.188,13.2,16.8,240,-7.815,72.244,-11.942,
3/1/2025,03:55:00 -0400,0,1,4.193,13.2,21.6,240,-8.008,72.299,-12.119,
3/1/2025,04:00:00 -0400,0,1,4.176,14.4,21.6,243,-8.115,71.493,-12.362,
3/1/2025,04:05:00 -0400,0,1,4.19,15.6,20.4,243,-8.179,71.354,-12.448,
3/1/2025,04:10:00 -0400,0,1,4.193,12,19.2,244,-8.265,72.12,-12.399,
3/1/2025,04:15:00 -0400,0,1,4.172,10.8,16.8,248,-8.287,71.936,-12.451,
3/1/2025,04:20:00 -0400,0,1,4.188,10.8,18,247,-8.33,71.676,-12.537,
3/1/2025,04:25:00 -0400,0,1,4.193,8.4,18,247,-8.351,71.374,-12.61,
3/1/2025,04:30:00 -0400,0,1,4.173,8.4,13.2,243,-8.372,71.977,-12.527,
3/1/2025,04:35:00 -0400,0,1,4.188,6,12,253,-8.394,71.424,-12.643,
3/1/2025,04:40:00 -0400,0,1,4.191,4.8,12,256,-8.394,71.58,-12.616,
3/1/2025,04:45:00 -0400,0,1,4.172,7.2,14.4,247,-8.415,71.189,-12.704,
3/1/2025,04:50:00 -0400,0,1,4.185,9.6,16.8,244,-8.437,71.807,-12.618,
3/1/2025,04:55:00 -0400,0,1,4.191,7.2,14.4,248,-8.458,70.719,-12.827,
3/1/2025,05:00:00 -0400,0,1,4.172,7.2,13.2,247,-8.437,72.499,-12.5,
3/1/2025,05:05:00 -0400,0,1,4.185,7.2,14.4,247,-8.48,71.26,-12.754,
3/1/2025,05:10:00 -0400,0,1,4.19,4.8,12,256,-8.501,72.05,-12.639,
3/1/2025,05:15:00 -0400,0,1,4.17,3.6,8.4,279,-8.501,71.072,-12.807,
3/1/2025,05:20:00 -0400,0,1,4.184,2.4,7.2,274,-8.523,72.087,-12.653,
3/1/2025,05:25:00 -0400,0,1,4.188,3.6,7.2,264,-8.523,72.224,-12.63,
3/1/2025,05:30:00 -0400,0,1,4.172,2.4,7.2,263,-8.437,72.375,-12.521,
3/1/2025,05:35:00 -0400,0,1,4.184,1.2,3.6,284,-8.48,73.109,-12.438,
3/1/2025,05:40:00 -0400,0,1,4.188,4.8,10.8,250,-8.394,72.94,-12.383,
3/1/2025,05:45:00 -0400,0,1,4.164,4.8,9.6,248,-8.33,74.357,-12.083,
3/1/2025,05:50:00 -0400,0,1,4.182,4.8,8.4,250,-8.287,73.245,-12.228,
3/1/2025,05:55:00 -0400,0,1,4.185,7.2,10.8,243,-8.351,73.277,-12.285,
3/1/2025,06:00:00 -0400,0,1,4.166,8.4,10.8,239,-8.394,71.693,-12.596,
3/1/2025,06:05:00 -0400,0,1,4.182,7.2,9.6,234,-8.394,71.942,-12.554,
3/1/2025,06:10:00 -0400,0,1,4.187,6,9.6,236,-8.394,72.682,-12.427,
3/1/2025,06:15:00 -0400,0,1,4.166,3.6,7.2,233,-8.415,72.692,-12.446,
3/1/2025,06:20:00 -0400,0,1,4.181,3.6,6,232,-8.415,72.421,-12.492,
3/1/2025,06:25:00 -0400,0,1,4.185,3.6,7.2,229,-8.415,71.85,-12.59,
3/1/2025,06:30:00 -0400,0,1,4.166,4.8,7.2,237,-8.415,72.271,-12.518,
3/1/2025,06:35:00 -0400,0,1,4.181,3.6,6,237,-8.372,72.056,-12.513,
3/1/2025,06:40:00 -0400,0,1,4.185,4.8,8.4,232,-8.308,71.67,-12.518,
3/1/2025,06:45:00 -0400,0,1,4.166,6,9.6,227,-8.287,71.945,-12.45,
3/1/2025,06:50:00 -0400,0,3,4.184,7.2,10.8,232,-8.222,73.288,-12.158,
3/1/2025,06:55:00 -0400,0,6,4.196,6,8.4,226,-8.201,72.879,-12.207,
3/1/2025,07:00:00 -0400,0,8,4.178,4.8,7.2,229,-8.222,71.872,-12.4,
3/1/2025,07:05:00 -0400,0,16,4.218,6,8.4,223,-8.158,72.215,-12.279,
3/1/2025,07:10:00 -0400,0,31,4.265,3.6,8.4,213,-8.115,71.896,-12.292,
3/1/2025,07:15:00 -0400,0,38,4.281,3.6,7.2,213,-8.008,70.852,-12.37,
3/1/2025,07:20:00 -0400,0,41,4.302,2.4,6,212,-7.965,70.156,-12.45,
3/1/2025,07:25:00 -0400,0,41,4.302,3.6,6,218,-7.943,69.808,-12.491,
3/1/2025,07:30:00 -0400,0,38,4.314,3.6,6,211,-7.943,70.161,-12.429,
3/1/2025,07:35:00 -0400,0,38,4.298,2.4,7.2,206,-7.772,70.06,-12.281,
3/1/2025,07:40:00 -0400,0,49,4.314,2.4,6,195,-7.643,69.505,-12.256,
3/1/2025,07:45:00 -0400,0,56,4.311,2.4,4.8,195,-7.579,69.871,-12.129,
3/1/2025,07:50:00 -0400,0,59,4.316,2.4,6,197,-7.429,69.917,-11.977,
3/1/2025,07:55:00 -0400,0,62,4.302,1.2,4.8,206,-7.257,70.019,-11.793,
3/1/2025,08:00:00 -0400,0,66,4.308,2.4,6,190,-7.128,69.026,-11.847,
3/1/2025,08:05:00 -0400,0,64,4.301,2.4,4.8,181,-6.978,69.177,-11.675,
3/1/2025,08:10:00 -0400,0,78,4.302,3.6,6,174,-6.978,69.383,-11.638,
3/1/2025,08:15:00 -0400,0,93,4.31,4.8,7.2,168,-6.85,69.207,-11.546,
3/1/2025,08:20:00 -0400,0,114,4.301,3.6,7.2,154,-6.742,68.301,-11.607,
3/1/2025,08:25:00 -0400,0,118,4.304,3.6,6,160,-6.528,68.133,-11.432,
3/1/2025,08:30:00 -0400,0,142,4.299,4.8,8.4,174,-6.378,66.488,-11.593,
3/1/2025,08:35:00 -0400,0,182,4.299,3.6,6,166,-5.906,65.975,-11.238,
3/1/2025,08:40:00 -0400,0,153,4.302,4.8,7.2,160,-5.82,65.788,-11.192,
3/1/2025,08:45:00 -0400,0,132,4.301,4.8,10.8,163,-5.949,65.743,-11.323,
3/1/2025,08:50:00 -0400,0,258,4.299,4.8,8.4,154,-5.691,66.941,-10.851,
3/1/2025,08:55:00 -0400,0,308,4.304,4.8,8.4,168,-4.919,63.929,-10.691,
3/1/2025,09:00:00 -0400,0,147,4.298,4.8,14.4,197,-5.112,63.07,-11.044,
3/1/2025,09:05:00 -0400,0,337,4.298,6,10.8,187,-5.155,64.146,-10.873,
3/1/2025,09:10:00 -0400,0,399,4.299,6,10.8,166,-4.126,60.877,-10.552,
3/1/2025,09:15:00 -0400,0,411,4.313,6,10.8,167,-3.697,58.84,-10.574,
3/1/2025,09:20:00 -0400,0,423,4.305,6,13.2,177,-3.289,57.667,-10.443,
3/1/2025,09:25:00 -0400,0,432,4.319,7.2,14.4,177,-3.332,57.974,-10.417,
3/1/2025,09:30:00 -0400,0,447,4.322,10.8,19.2,171,-3.547,56.698,-10.898,
3/1/2025,09:35:00 -0400,0,459,4.298,8.4,19.2,185,-3.246,56.321,-10.699,
3/1/2025,09:40:00 -0400,0,489,4.302,8.4,15.6,174,-3.01,56.327,-10.476,
3/1/2025,09:45:00 -0400,0,553,4.304,7.2,15.6,184,-2.539,56.321,-10.035,
3/1/2025,09:50:00 -0400,0,558,4.304,8.4,18,187,-2.346,55.76,-9.98,
3/1/2025,09:55:00 -0400,0,549,4.308,9.6,20.4,185,-1.981,56.687,-9.429,
3/1/2025,10:00:00 -0400,0,537,4.299,10.8,19.2,167,-2.131,53.979,-10.189,
3/1/2025,10:05:00 -0400,0,492,4.298,8.4,18,181,-2.045,54.275,-10.04,
3/1/2025,10:10:00 -0400,0,519,4.302,8.4,16.8,183,-2.11,55.956,-9.714,
3/1/2025,10:15:00 -0400,0,539,4.302,8.4,16.8,181,-2.088,54.322,-10.069,
3/1/2025,10:20:00 -0400,0,588,4.304,9.6,19.2,180,-1.852,54.986,-9.695,
3/1/2025,10:25:00 -0400,0,297,4.305,9.6,19.2,175,-2.045,55.604,-9.734,
3/1/2025,10:30:00 -0400,0,297,4.322,9.6,20.4,174,-2.903,57.737,-10.064,
3/1/2025,10:35:00 -0400,0,704,4.299,9.6,18,167,-2.86,58.927,-9.766,
3/1/2025,10:40:00 -0400,0,723,4.305,10.8,21.6,170,-1.552,55.526,-9.289,
3/1/2025,10:45:00 -0400,0,343,4.328,9.6,16.8,170,-1.509,55.502,-9.255,
3/1/2025,10:50:00 -0400,0,351,4.311,10.8,19.2,167,-2.217,59.747,-8.983,
3/1/2025,10:55:00 -0400,0,278,4.301,10.8,21.6,170,-2.174,60.221,-8.841,
3/1/2025,11:00:00 -0400,0,306,4.298,13.2,21.6,166,-2.624,60.418,-9.226,
3/1/2025,11:05:00 -0400,0,297,4.307,10.8,20.4,171,-2.388,62.058,-8.661,
3/1/2025,11:10:00 -0400,0,278,4.32,13.2,25.2,166,-2.539,61.114,-8.999,
3/1/2025,11:15:00 -0400,0,291,4.304,10.8,21.6,174,-2.496,61.784,-8.819,
3/1/2025,11:20:00 -0400,0,326,4.305,10.8,20.4,167,-2.26,60.99,-8.761,
3/1/2025,11:25:00 -0400,0,387,4.322,13.2,25.2,173,-2.131,59.699,-8.912,
3/1/2025,11:30:00 -0400,0,748,4.301,10.8,20.4,167,-1.016,58.473,-8.125,
3/1/2025,11:35:00 -0400,0,433,4.307,9.6,20.4,174,-1.08,55.872,-8.768,
3/1/2025,11:40:00 -0400,0,482,4.308,10.8,20.4,180,-1.166,57.31,-8.524,
3/1/2025,11:45:00 -0400,0,257,4.301,12,20.4,173,-1.638,58.877,-8.623,
3/1/2025,11:50:00 -0400,0,187,4.305,12,20.4,174,-2.153,59.489,-8.977,
3/1/2025,11:55:00 -0400,0,154,4.308,12,25.2,177,-2.453,61.221,-8.895,
3/1/2025,12:00:00 -0400,0,313,4.31,10.8,25.2,177,-2.11,60.845,-8.649,
3/1/2025,12:05:00 -0400,0,224,4.304,10.8,19.2,175,-1.745,60.02,-8.479,
3/1/2025,12:10:00 -0400,0,283,4.322,9.6,25.2,183,-1.616,60.72,-8.208,
3/1/2025,12:15:00 -0400,0,291,4.31,9.6,19.2,177,-1.123,57.87,-8.359,
3/1/2025,12:20:00 -0400,0,328,4.305,12,21.6,167,-1.145,57.475,-8.467,
3/1/2025,12:25:00 -0400,0,277,4.322,7.2,14.4,168,-0.437,58.25,-7.629,
3/1/2025,12:30:00 -0400,0,312,4.311,9.6,16.8,166,-0.179,56.767,-7.719,
3/1/2025,12:35:00 -0400,0,384,4.301,10.8,19.2,164,0.014,56.464,-7.607,
3/1/2025,12:40:00 -0400,0,406,4.304,12,20.4,168,0.121,55.634,-7.697,
3/1/2025,12:45:00 -0400,0,373,4.308,10.8,16.8,167,0.378,56.088,-7.351,
3/1/2025,12:50:00 -0400,0,392,4.304,12,25.2,171,0.486,55.741,-7.331,
3/1/2025,12:55:00 -0400,0,231,4.31,12,21.6,174,0.035,56.611,-7.553,
3/1/2025,13:00:00 -0400,0,202,4.31,9.6,19.2,167,-0.158,60.418,-6.893,
3/1/2025,13:05:00 -0400,0,177,4.305,7.2,16.8,149,-0.394,60.562,-7.085,
3/1/2025,13:10:00 -0400,0,193,4.322,9.6,15.6,164,-0.587,61.292,-7.112,
3/1/2025,13:15:00 -0400,0,216,4.304,12,20.4,166,-0.458,61.837,-6.876,
3/1/2025,13:20:00 -0400,0,232,4.305,10.8,18,168,-0.136,61.929,-6.551,
3/1/2025,13:25:00 -0400,0,198,4.32,10.8,18,167,-0.136,62.863,-6.356,
3/1/2025,13:30:00 -0400,0,157,4.299,12,21.6,166,-0.136,63.684,-6.187,
3/1/2025,13:35:00 -0400,0,153,4.32,12,22.8,168,-0.179,63.288,-6.309,
3/1/2025,13:40:00 -0400,0,152,4.317,12,24,173,-0.158,64.242,-6.094,
3/1/2025,13:45:00 -0400,0,178,4.301,13.2,22.8,173,-0.179,66.644,-5.633,
3/1/2025,13:50:00 -0400,0,277,4.319,10.8,20.4,159,0.25,66.206,-5.31,
3/1/2025,13:55:00 -0400,0,256,4.313,10.8,21.6,157,0.743,64.86,-5.11,
3/1/2025,14:00:00 -0400,0,272,4.302,10.8,18,161,0.721,64.392,-5.226,
3/1/2025,14:05:00 -0400,0,263,4.316,10.8,18,160,0.872,64.997,-4.959,
3/1/2025,14:10:00 -0400,0,231,4.314,10.8,19.2,161,0.936,64.393,-5.021,
3/1/2025,14:15:00 -0400,0,238,4.32,10.8,19.2,163,1.065,64.521,-4.872,
3/1/2025,14:20:00 -0400,0,238,4.304,10.8,20.4,157,1.129,63.464,-5.029,
3/1/2025,14:25:00 -0400,0,211,4.322,9.6,18,168,1.472,64.338,-4.522,
3/1/2025,14:30:00 -0400,0,132,4.311,9.6,16.8,160,1.301,65.208,-4.507,
3/1/2025,14:35:00 -0400,0,111,4.308,10.8,20.4,168,0.936,65.904,-4.715,
3/1/2025,14:40:00 -0400,0,116,4.32,9.6,15.6,161,0.957,66.218,-4.631,
3/1/2025,14:45:00 -0400,0,147,4.305,10.8,18,157,1.15,65.234,-4.645,
3/1/2025,14:50:00 -0400,0,161,4.322,9.6,16.8,164,1.408,65.138,-4.419,
3/1/2025,14:55:00 -0400,0,161,4.317,9.6,18,160,1.687,64.437,-4.297,
3/1/2025,15:00:00 -0400,0,103,4.301,8.4,16.8,161,1.708,64.851,-4.192,
3/1/2025,15:05:00 -0400,0,103,4.322,10.8,20.4,157,1.515,64.018,-4.547,
3/1/2025,15:10:00 -0400,0,119,4.319,10.8,19.2,163,1.622,64.282,-4.391,
3/1/2025,15:15:00 -0400,0,108,4.301,9.6,18,161,1.708,66.622,-3.833,
3/1/2025,15:20:00 -0400,0,149,4.316,9.6,20.4,161,1.73,65.953,-3.947,
3/1/2025,15:25:00 -0400,0,182,4.314,9.6,22.8,160,1.965,64.379,-4.044,
3/1/2025,15:30:00 -0400,0,151,4.305,12,19.2,161,2.073,64.581,-3.9,
3/1/2025,15:35:00 -0400,0,161,4.317,12,20.4,164,2.051,65.734,-3.685,
3/1/2025,15:40:00 -0400,0,111,4.31,13.2,22.8,166,2.03,65.261,-3.801,
3/1/2025,15:45:00 -0400,0,113,4.32,12,19.2,170,1.858,67.779,-3.46,
3/1/2025,15:50:00 -0400,0,116,4.304,10.8,22.8,166,1.965,67.189,-3.474,
3/1/2025,15:55:00 -0400,0,97,4.322,13.2,21.6,166,1.944,67.472,-3.439,
3/1/2025,16:00:00 -0400,0,71,4.31,12,20.4,167,1.923,67.843,-3.386,
3/1/2025,16:05:00 -0400,0,79,4.308,10.8,20.4,167,1.944,68.603,-3.216,
3/1/2025,16:10:00 -0400,0,79,4.322,10.8,19.2,168,2.073,67.895,-3.232,
3/1/2025,16:15:00 -0400,0,106,4.304,12,21.6,167,2.116,67.541,-3.261,
3/1/2025,16:20:00 -0400,0,131,4.308,13.2,24,164,2.48,66.337,-3.153,
3/1/2025,16:25:00 -0400,0,103,4.32,12,22.8,163,2.523,65.692,-3.243,
3/1/2025,16:30:00 -0400,0,88,4.302,13.2,21.6,164,2.373,66.383,-3.246,
3/1/2025,16:35:00 -0400,0,103,4.319,12,22.8,161,2.48,66.429,-3.134,
3/1/2025,16:40:00 -0400,0,87,4.314,9.6,19.2,160,2.437,66.728,-3.115,
3/1/2025,16:45:00 -0400,0,58,4.298,9.6,16.8,156,2.18,67.298,-3.247,
3/1/2025,16:50:00 -0400,0,64,4.304,8.4,15.6,161,1.965,68.765,-3.164,
3/1/2025,16:55:00 -0400,0,49,4.308,12,21.6,168,1.923,68.646,-3.228,
3/1/2025,17:00:00 -0400,0,44,4.305,14.4,30.1,164,1.858,68.248,-3.368,
3/1/2025,17:05:00 -0400,0,38,4.308,16.8,24,163,1.815,69.175,-3.228,
3/1/2025,17:10:00 -0400,0,34,4.31,14.4,25.2,167,1.644,70.289,-3.179,
3/1/2025,17:15:00 -0400,0,32,4.314,15.6,24,164,1.622,70.439,-3.171,
3/1/2025,17:20:00 -0400,0,26,4.302,13.2,25.2,164,1.644,70.555,-3.129,
3/1/2025,17:25:00 -0400,0,26,4.302,15.6,32.5,170,1.772,69.931,-3.124,
3/1/2025,17:30:00 -0400,0,22,4.304,15.6,30.1,168,1.794,69.277,-3.229,
3/1/2025,17:35:00 -0400,0,16,4.299,16.8,26.5,168,1.794,69.235,-3.237,
3/1/2025,17:40:00 -0400,0,11,4.301,18,32.5,168,1.751,69.793,-3.171,
3/1/2025,17:45:00 -0400,0,8,4.277,19.2,32.5,168,1.73,69.667,-3.216,
3/1/2025,17:50:00 -0400,0,4,4.295,16.8,34.9,170,1.708,70.388,-3.098,
3/1/2025,17:55:00 -0400,0,2,4.292,18,28.9,166,1.708,70.288,-3.118,
3/1/2025,18:00:00 -0400,0,1,4.262,20.4,30.1,170,1.815,71.063,-2.867,
3/1/2025,18:05:00 -0400,0,1,4.268,18,32.5,168,1.794,72.107,-2.692,
3/1/2025,18:10:00 -0400,0,1,4.266,20.4,33.7,170,1.815,71.891,-2.711,
3/1/2025,18:15:00 -0400,0,1,4.247,19.2,33.7,164,1.794,72.811,-2.561,
3/1/2025,18:20:00 -0400,0,1,4.256,19.2,31.3,170,1.794,72.782,-2.566,
3/1/2025,18:25:00 -0400,0,1,4.256,19.2,37.3,166,1.901,72.399,-2.534,
3/1/2025,18:30:00 -0400,0,1,4.238,21.6,36.1,170,2.03,72.656,-2.362,
3/1/2025,18:35:00 -0400,0,1,4.248,19.2,34.9,170,1.944,73.931,-2.21,
3/1/2025,18:40:00 -0400,0,1,4.25,18,32.5,170,1.901,74.133,-2.215,
3/1/2025,18:45:00 -0400,0,1,4.224,18,33.7,171,1.923,74.234,-2.176,
3/1/2025,18:50:00 -0400,0,1,4.242,18,37.3,170,1.987,74.165,-2.126,
3/1/2025,18:55:00 -0400,0,1,4.244,16.8,28.9,168,1.901,75.023,-2.053,
3/1/2025,19:00:00 -0400,0,1,4.223,16.8,25.2,164,1.858,75.99,-1.922,
3/1/2025,19:05:00 -0400,0,1,4.238,16.8,28.9,171,1.751,76.767,-1.888,
3/1/2025,19:10:00 -0400,0,1,4.241,16.8,26.5,164,1.73,77.256,-1.823,
3/1/2025,19:15:00 -0400,0,1,4.224,18,32.5,167,1.751,77.469,-1.765,
3/1/2025,19:20:00 -0400,0,1,4.233,19.2,31.3,166,1.901,77.339,-1.641,
3/1/2025,19:25:00 -0400,0,1,4.236,16.8,31.3,173,1.88,77.691,-1.601,
3/1/2025,19:30:00 -0400,0,1,4.218,15.6,27.7,175,1.923,77.847,-1.532,
3/1/2025,19:35:00 -0400,0,1,4.232,14.4,25.2,171,1.88,78.433,-1.471,
3/1/2025,19:40:00 -0400,0,1,4.235,16.8,30.1,170,1.944,78.666,-1.368,
3/1/2025,19:45:00 -0400,0,1,4.217,21.6,39.7,170,2.051,78.677,-1.262,
3/1/2025,19:50:00 -0400,0,1,4.229,16.8,28.9,175,2.03,79.243,-1.185,
3/1/2025,19:55:00 -0400,0,1,4.232,14.4,31.3,170,1.987,79.455,-1.191,
3/1/2025,20:00:00 -0400,0,1,4.217,14.4,27.7,168,1.901,79.899,-1.198,
3/1/2025,20:05:00 -0400,0,1,4.226,14.4,26.5,163,1.858,80.319,-1.169,
3/1/2025,20:10:00 -0400,0,1,4.23,16.8,26.5,161,1.901,80.388,-1.115,
3/1/2025,20:15:00 -0400,0,1,4.214,18,30.1,166,1.858,80.397,-1.156,
3/1/2025,20:20:00 -0400,0,1,4.226,14.4,26.5,160,1.794,80.407,-1.217,
3/1/2025,20:25:00 -0400,0,1,4.227,18,34.9,159,1.901,79.449,-1.275,
3/1/2025,20:30:00 -0400,0,1,4.212,16.8,30.1,164,1.665,80.543,-1.319,
3/1/2025,20:35:00 -0400,0,1,4.223,18,31.3,164,1.601,81.025,-1.301,
3/1/2025,20:40:00 -0400,0,1,4.226,15.6,26.5,166,1.515,81.669,-1.277,
3/1/2025,20:45:00 -0400,0,1,4.214,16.8,31.3,164,1.494,81.816,-1.274,
3/1/2025,20:50:00 -0400,0,1,4.221,18,27.7,164,1.451,82.228,-1.247,
3/1/2025,20:55:00 -0400,0,1,4.224,15.6,32.5,163,1.386,82.846,-1.208,
3/1/2025,21:00:00 -0400,0,1,4.206,18,28.9,167,1.386,83.304,-1.133,
3/1/2025,21:05:00 -0400,0,1,4.22,18,31.3,164,1.429,83.693,-1.028,
3/1/2025,21:10:00 -0400,0,1,4.221,18,34.9,167,1.386,84.219,-0.984,
3/1/2025,21:15:00 -0400,0,1,4.206,20.4,36.1,167,1.494,84.358,-0.856,
3/1/2025,21:20:00 -0400,0,1,4.217,20.4,34.9,167,1.494,84.865,-0.775,
3/1/2025,21:25:00 -0400,0,1,4.22,21.6,37.3,170,1.451,85.397,-0.731,
3/1/2025,21:30:00 -0400,0,1,4.203,22.8,36.1,166,1.429,85.904,-0.671,
3/1/2025,21:35:00 -0400,0,1,4.215,20.4,27.7,164,1.429,86.395,-0.593,
3/1/2025,21:40:00 -0400,0,1,4.218,21.6,33.7,167,1.515,86.604,-0.476,
3/1/2025,21:45:00 -0400,0,1,4.205,22.8,37.3,163,1.515,86.862,-0.435,
3/1/2025,21:50:00 -0400,0,1,4.214,22.8,54.1,168,1.601,87.41,-0.264,
3/1/2025,21:55:00 -0400,0,1,4.217,20.4,36.1,167,1.622,87.855,-0.173,
3/1/2025,22:00:00 -0400,0,1,4.203,21.6,36.1,170,1.601,88.423,-0.106,
3/1/2025,22:05:00 -0400,0,1,4.212,21.6,38.5,167,1.644,88.806,-0.004,
3/1/2025,22:10:00 -0400,0,1,4.215,22.8,39.7,166,1.644,89.183,0.054,
3/1/2025,22:15:00 -0400,0,1,4.199,21.6,36.1,168,1.687,89.676,0.173,
3/1/2025,22:20:00 -0400,0,1,4.211,21.6,36.1,170,1.687,89.87,0.203,
3/1/2025,22:25:00 -0400,0,1,4.214,20.4,30.1,167,1.687,90.208,0.254,
3/1/2025,22:30:00 -0400,0,1,4.199,18,30.1,167,1.708,90.422,0.308,
3/1/2025,22:35:00 -0400,0,1,4.209,18,28.9,161,1.858,90.845,0.521,
3/1/2025,22:40:00 -0400,0,1,4.212,19.2,31.3,166,2.03,90.716,0.672,
3/1/2025,22:45:00 -0400,0,1,4.197,18,30.1,166,2.116,90.744,0.761,
3/1/2025,22:50:00 -0400,0,1,4.208,19.2,31.3,166,2.18,90.939,0.854,
3/1/2025,22:55:00 -0400,0,1,4.209,18,32.5,170,2.287,91.284,1.013,
3/1/2025,23:00:00 -0400,0,1,4.194,19.2,32.5,167,2.373,91.415,1.118,
3/1/2025,23:05:00 -0400,0,1,4.206,19.2,32.5,166,2.416,91.92,1.237,
3/1/2025,23:10:00 -0400,0,1,4.209,15.6,27.7,164,2.416,92.226,1.283,
